iter	Passed	Remaining
0	53	53908
1	56	28074
2	58	19346
3	60	14957
4	62	12359
5	63	10523
6	64	9210
7	66	8239
8	67	7469
9	69	6834
10	70	6321
11	71	5903
12	73	5545
13	74	5232
14	75	4966
15	76	4720
16	77	4505
17	79	4310
18	80	4134
19	81	3970
20	82	3826
21	83	3691
22	84	3572
23	85	3461
24	86	3360
25	87	3265
26	88	3180
27	89	3105
28	90	3029
29	91	2956
30	92	2887
31	93	2823
32	94	2765
33	95	2716
34	96	2663
35	97	2610
36	98	2562
37	99	2520
38	100	2477
39	101	2437
40	102	2397
41	103	2363
42	104	2329
43	105	2296
44	106	2263
45	107	2231
46	108	2201
47	109	2173
48	110	2148
49	111	2122
50	112	2096
51	113	2073
52	114	2051
53	116	2034
54	117	2016
55	118	1995
56	119	1975
57	120	1954
58	121	1935
59	122	1916
60	123	1899
61	124	1881
62	125	1864
63	126	1848
64	127	1832
65	128	1819
66	129	1803
67	130	1792
68	132	1782
69	133	1767
70	134	1754
71	135	1741
72	136	1728
73	137	1716
74	138	1703
75	139	1691
76	140	1681
77	141	1669
78	142	1657
79	143	1647
80	144	1635
81	145	1631
82	146	1615
83	147	1605
84	148	1595
85	149	1585
86	150	1576
87	151	1567
88	152	1558
89	153	1549
90	154	1541
91	155	1533
92	156	1524
93	157	1516
94	158	1507
95	159	1504
96	160	1496
97	161	1488
98	162	1481
99	163	1473
100	164	1466
101	165	1459
102	166	1451
103	167	1444
104	168	1437
105	169	1431
106	170	1425
107	171	1419
108	172	1412
109	173	1406
110	174	1400
111	175	1394
112	176	1387
113	177	1381
114	178	1375
115	179	1370
116	180	1362
117	181	1356
118	182	1351
119	183	1345
120	184	1339
121	185	1333
122	186	1328
123	187	1322
124	188	1318
125	189	1314
126	190	1307
127	191	1303
128	192	1299
129	193	1294
130	194	1289
131	195	1285
132	196	1280
133	197	1275
134	198	1271
135	199	1266
136	200	1261
137	201	1257
138	202	1254
139	203	1249
140	204	1244
141	204	1238
142	205	1234
143	207	1230
144	208	1226
145	208	1222
146	209	1218
147	210	1214
148	211	1210
149	213	1207
150	214	1203
151	215	1199
152	215	1195
153	216	1191
154	218	1189
155	219	1185
156	220	1182
157	221	1178
158	222	1175
159	223	1171
160	223	1166
161	224	1163
162	225	1159
163	226	1156
164	227	1153
165	228	1150
166	229	1147
167	231	1144
168	232	1143
169	233	1140
170	234	1136
171	235	1133
172	236	1130
173	237	1127
174	238	1124
175	239	1120
176	240	1118
177	241	1115
178	242	1112
179	243	1109
180	244	1106
181	245	1104
182	247	1103
183	248	1100
184	249	1098
185	250	1095
186	251	1092
187	252	1089
188	253	1086
189	254	1083
190	255	1081
191	256	1078
192	257	1075
193	258	1073
194	259	1071
195	260	1068
196	261	1066
197	262	1064
198	263	1061
199	264	1058
200	265	1056
201	267	1055
202	268	1052
203	269	1050
204	270	1047
205	271	1044
206	271	1041
207	272	1039
208	273	1036
209	275	1035
210	276	1032
211	277	1030
212	278	1028
213	279	1025
214	280	1023
215	281	1020
216	282	1018
217	283	1015
218	284	1013
219	285	1011
220	286	1008
221	287	1006
222	288	1004
223	289	1003
224	290	1000
225	291	998
226	292	996
227	293	994
228	294	992
229	295	990
230	296	988
231	297	985
232	298	983
233	299	981
234	300	979
235	301	977
236	302	974
237	303	973
238	305	971
239	306	969
240	307	967
241	308	965
242	309	962
243	310	960
244	311	958
245	311	956
246	312	953
247	313	951
248	314	950
249	316	948
250	317	946
251	317	943
252	319	942
253	320	940
254	321	938
255	322	936
256	323	934
257	324	932
258	325	931
259	326	929
260	327	927
261	328	925
262	329	923
263	330	921
264	331	920
265	332	917
266	333	916
267	334	914
268	335	912
269	336	910
270	337	908
271	338	907
272	339	905
273	340	903
274	341	901
275	342	899
276	343	897
277	344	895
278	346	894
279	347	892
280	348	892
281	349	890
282	350	888
283	351	886
284	352	884
285	353	882
286	354	881
287	356	880
288	357	879
289	358	877
290	359	875
291	360	874
292	361	872
293	363	871
294	364	869
295	365	868
296	366	866
297	367	864
298	368	862
299	369	861
300	370	859
301	371	857
302	371	855
303	372	853
304	374	852
305	375	850
306	376	848
307	377	847
308	378	846
309	379	844
310	380	842
311	381	840
312	382	839
313	383	837
314	384	835
315	385	834
316	386	832
317	387	831
318	388	829
319	389	827
320	390	825
321	391	823
322	392	822
323	393	821
324	394	819
325	395	817
326	396	816
327	397	814
328	398	812
329	399	811
330	400	809
331	401	808
332	402	806
333	403	805
334	404	803
335	406	802
336	407	801
337	408	799
338	409	798
339	410	796
340	411	795
341	412	793
342	413	791
343	414	790
344	415	788
345	416	786
346	417	785
347	418	783
348	419	782
349	420	781
350	421	779
351	422	778
352	423	776
353	424	775
354	425	773
355	426	771
356	427	770
357	428	768
358	429	767
359	430	765
360	431	764
361	432	762
362	433	761
363	434	759
364	436	758
365	437	757
366	438	755
367	438	753
368	439	752
369	440	750
370	441	749
371	442	747
372	444	746
373	445	745
374	446	743
375	447	742
376	448	740
377	449	739
378	450	738
379	451	736
380	452	735
381	453	733
382	454	732
383	455	731
384	456	729
385	457	727
386	458	726
387	459	724
388	460	723
389	461	722
390	462	720
391	464	719
392	465	718
393	466	717
394	467	715
395	468	714
396	469	712
397	470	711
398	471	709
399	472	708
400	473	706
401	474	705
402	475	704
403	476	702
404	477	701
405	478	700
406	480	699
407	480	697
408	482	696
409	483	695
410	484	693
411	485	692
412	486	691
413	487	689
414	488	688
415	489	686
416	490	685
417	491	683
418	492	682
419	493	681
420	494	679
421	495	678
422	496	676
423	496	675
424	497	673
425	498	672
426	499	670
427	500	669
428	501	667
429	502	666
430	503	664
431	504	663
432	506	662
433	507	661
434	508	660
435	509	658
436	510	657
437	511	655
438	512	654
439	513	652
440	514	651
441	515	650
442	516	649
443	517	647
444	518	646
445	519	645
446	520	644
447	523	644
448	524	643
449	525	641
450	526	640
451	527	639
452	528	637
453	529	636
454	530	634
455	531	634
456	532	633
457	533	631
458	536	632
459	538	631
460	539	630
461	539	628
462	540	627
463	541	626
464	542	624
465	543	623
466	544	621
467	545	620
468	546	619
469	547	617
470	548	616
471	551	616
472	552	615
473	554	614
474	555	613
475	556	612
476	557	610
477	558	609
478	559	608
479	560	606
480	560	605
481	562	603
482	563	602
483	566	603
484	567	602
485	568	601
486	569	599
487	570	598
488	571	597
489	572	596
490	573	594
491	574	593
492	575	591
493	576	590
494	577	589
495	580	589
496	581	588
497	582	587
498	583	585
499	584	584
500	585	583
501	586	581
502	587	580
503	588	579
504	589	577
505	590	576
506	591	575
507	593	574
508	595	574
509	596	572
510	597	571
511	598	570
512	599	569
513	600	567
514	601	566
515	602	565
516	603	563
517	604	562
518	606	561
519	607	560
520	610	560
521	611	559
522	612	558
523	612	556
524	613	555
525	614	554
526	615	552
527	616	551
528	617	550
529	618	548
530	620	547
531	621	546
532	622	545
533	624	544
534	627	545
535	628	543
536	629	542
537	630	541
538	631	540
539	632	538
540	633	537
541	634	536
542	636	535
543	638	535
544	639	533
545	640	532
546	641	531
547	642	529
548	643	528
549	644	527
550	645	525
551	646	524
552	647	523
553	648	522
554	649	520
555	651	520
556	652	518
557	653	517
558	654	516
559	655	514
560	656	513
561	657	512
562	658	510
563	659	509
564	660	508
565	661	506
566	662	505
567	663	504
568	664	503
569	666	502
570	667	501
571	668	500
572	669	498
573	670	497
574	671	496
575	672	495
576	673	493
577	674	492
578	675	491
579	676	490
580	677	488
581	678	487
582	680	486
583	681	485
584	682	484
585	683	482
586	684	481
587	685	480
588	686	478
589	687	477
590	688	476
591	689	474
592	690	473
593	691	472
594	692	471
595	693	469
596	694	468
597	695	467
598	696	466
599	697	465
600	698	463
601	699	462
602	700	461
603	701	460
604	702	458
605	703	457
606	704	456
607	705	454
608	706	453
609	707	452
610	708	451
611	710	450
612	711	448
613	712	447
614	713	446
615	714	445
616	715	444
617	716	443
618	717	441
619	718	440
620	719	439
621	720	438
622	722	436
623	723	435
624	724	434
625	725	433
626	726	432
627	727	430
628	728	429
629	729	428
630	730	427
631	731	425
632	732	424
633	733	423
634	734	422
635	735	421
636	737	420
637	739	419
638	740	418
639	741	417
640	742	415
641	743	414
642	744	413
643	745	412
644	746	410
645	747	409
646	748	408
647	749	407
648	750	405
649	751	404
650	752	403
651	753	402
652	754	401
653	755	399
654	756	398
655	757	397
656	758	396
657	759	394
658	760	393
659	761	392
660	762	391
661	763	389
662	764	388
663	765	387
664	766	386
665	767	385
666	768	383
667	769	382
668	770	381
669	771	380
670	772	378
671	773	377
672	774	376
673	775	375
674	776	374
675	777	372
676	778	371
677	779	370
678	781	369
679	782	368
680	783	367
681	784	365
682	785	364
683	786	363
684	787	362
685	788	360
686	789	359
687	790	358
688	791	357
689	792	355
690	793	354
691	794	353
692	795	352
693	796	351
694	797	350
695	798	348
696	799	347
697	800	346
698	801	345
699	802	343
700	803	342
701	804	341
702	804	340
703	805	338
704	806	337
705	807	336
706	808	335
707	809	333
708	810	332
709	811	331
710	812	330
711	813	328
712	814	327
713	815	326
714	816	325
715	817	324
716	817	322
717	818	321
718	819	320
719	820	319
720	821	317
721	822	316
722	823	315
723	824	314
724	825	313
725	826	311
726	827	310
727	828	309
728	829	308
729	830	307
730	831	306
731	832	304
732	833	303
733	834	302
734	835	301
735	836	299
736	837	298
737	838	297
738	839	296
739	840	295
740	841	294
741	842	292
742	843	291
743	844	290
744	845	289
745	846	288
746	847	286
747	848	285
748	848	284
749	849	283
750	850	282
751	851	280
752	852	279
753	853	278
754	855	277
755	856	276
756	857	275
757	858	273
758	859	272
759	859	271
760	860	270
761	861	269
762	862	267
763	863	266
764	864	265
765	865	264
766	866	263
767	867	262
768	868	260
769	870	259
770	871	258
771	871	257
772	872	256
773	873	255
774	874	253
775	875	252
776	876	251
777	877	250
778	878	249
779	879	247
780	880	246
781	881	245
782	882	244
783	883	243
784	884	242
785	885	241
786	886	239
787	887	238
788	888	237
789	889	236
790	890	235
791	890	233
792	891	232
793	892	231
794	893	230
795	894	229
796	895	228
797	896	226
798	897	225
799	899	224
800	900	223
801	901	222
802	902	221
803	903	220
804	904	219
805	905	217
806	906	216
807	907	215
808	908	214
809	909	213
810	911	212
811	912	211
812	913	210
813	914	208
814	915	207
815	916	206
816	917	205
817	918	204
818	919	203
819	919	201
820	920	200
821	921	199
822	922	198
823	923	197
824	924	196
825	925	195
826	927	193
827	928	192
828	929	191
829	930	190
830	931	189
831	932	188
832	933	187
833	934	185
834	935	184
835	936	183
836	937	182
837	938	181
838	939	180
839	940	179
840	942	178
841	943	176
842	944	175
843	945	174
844	946	173
845	947	172
846	948	171
847	949	170
848	950	168
849	951	167
850	952	166
851	953	165
852	955	164
853	956	163
854	957	162
855	958	161
856	960	160
857	961	159
858	962	157
859	965	157
860	966	156
861	967	154
862	968	153
863	969	152
864	971	151
865	972	150
866	973	149
867	974	148
868	976	147
869	978	146
870	978	144
871	979	143
872	980	142
873	981	141
874	983	140
875	984	139
876	986	138
877	987	137
878	989	136
879	990	135
880	991	133
881	992	132
882	994	131
883	995	130
884	996	129
885	999	128
886	1002	127
887	1003	126
888	1006	125
889	1007	124
890	1009	123
891	1010	122
892	1011	121
893	1021	121
894	1024	120
895	1026	119
896	1027	118
897	1030	117
898	1032	115
899	1033	114
900	1034	113
901	1035	112
902	1036	111
903	1037	110
904	1038	109
905	1039	107
906	1040	106
907	1041	105
908	1042	104
909	1044	103
910	1045	102
911	1048	101
912	1049	99
913	1050	98
914	1051	97
915	1052	96
916	1053	95
917	1055	94
918	1056	93
919	1057	91
920	1058	90
921	1059	89
922	1061	88
923	1062	87
924	1063	86
925	1065	85
926	1066	83
927	1067	82
928	1068	81
929	1069	80
930	1070	79
931	1071	78
932	1072	77
933	1073	75
934	1074	74
935	1076	73
936	1077	72
937	1078	71
938	1079	70
939	1080	68
940	1081	67
941	1082	66
942	1084	65
943	1085	64
944	1086	63
945	1087	62
946	1089	60
947	1092	59
948	1093	58
949	1094	57
950	1096	56
951	1098	55
952	1099	54
953	1101	53
954	1103	51
955	1105	50
956	1107	49
957	1109	48
958	1110	47
959	1112	46
960	1113	45
961	1115	44
962	1117	42
963	1122	41
964	1125	40
965	1126	39
966	1127	38
967	1129	37
968	1130	36
969	1131	35
970	1136	33
971	1137	32
972	1140	31
973	1141	30
974	1142	29
975	1143	28
976	1145	26
977	1146	25
978	1147	24
979	1150	23
980	1152	22
981	1153	21
982	1154	19
983	1157	18
984	1159	17
985	1160	16
986	1161	15
987	1165	14
988	1166	12
989	1168	11
990	1170	10
991	1172	9
992	1173	8
993	1174	7
994	1176	5
995	1177	4
996	1178	3
997	1181	2
998	1182	1
999	1183	0
